epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
17,951.547,1.34435,0.88022,1.15773,0.69504,0.56704,0.62003,0.34221,1.4513,1.01952,1.27032,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,1911.75,1.3353,0.86954,1.14959,0.69455,0.56445,0.619,0.34241,1.45243,1.01685,1.26918,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,2872.93,1.32472,0.85765,1.1464,0.68892,0.57102,0.62051,0.34307,1.45144,1.01555,1.26775,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,3821.9,1.31883,0.85042,1.14339,0.697,0.56659,0.62111,0.34309,1.45039,1.01495,1.26702,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,4763.08,1.30317,0.8327,1.13516,0.69784,0.56565,0.62298,0.34396,1.44993,1.01383,1.26658,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
